year,make,model,condition,odometer,sellingprice
2012,Mercedes-Benz,S-Class,35.0,38680.0,41750.0
2012,Ram,2500,46.0,31537.0,36000.0
2012,Porsche,911,44.0,16480.0,72500.0
2012,Porsche,Panamera,41.0,38926.0,50500.0
2012,Porsche,Cayenne,43.0,27043.0,44500.0
2012,Mercedes-Benz,S-Class,35.0,36395.0,43500.0
2012,Mercedes-Benz,M-Class,28.0,53595.0,32000.0
2012,Mercedes-Benz,GL-Class,46.0,18330.0,36750.0
2011,BMW,5 Series Gran Turismo,39.0,22507.0,31500.0
2011,BMW,3 Series,45.0,13179.0,31750.0
2011,BMW,M3,29.0,20585.0,44000.0
2011,BMW,M3,39.0,37097.0,38500.0
2011,BMW,5 Series,46.0,21645.0,34500.0
2011,BMW,X5,38.0,39989.0,33750.0
2011,BMW,M3,24.0,30463.0,38500.0
2011,Cadillac,Escalade ESV,43.0,53639.0,35000.0
2011,BMW,X6 M,43.0,20131.0,51000.0
2011,Cadillac,CTS-V Coupe,42.0,30066.0,38750.0
2011,Cadillac,Escalade ESV,29.0,52462.0,35000.0
2011,BMW,X5,37.0,35226.0,33500.0
2011,GMC,Yukon,35.0,26430.0,35750.0
2011,Cadillac,Escalade,42.0,40009.0,38250.0
2014,Chevrolet,Suburban,47.0,40391.0,41200.0
2014,Chrysler,300,44.0,12910.0,38500.0
2011,Jaguar,XF,42.0,22555.0,33500.0
2011,Jaguar,XJ,37.0,33305.0,44000.0
2011,Land Rover,Range Rover Sport,43.0,42101.0,38000.0
2011,Jaguar,XK,38.0,43231.0,33500.0
2011,Land Rover,Range Rover,39.0,53634.0,46000.0
2011,Jaguar,XF,38.0,31796.0,31500.0
2011,Mercedes-Benz,GL-Class,44.0,45494.0,39000.0
2011,Jaguar,XK,27.0,43065.0,33500.0
2011,Land Rover,Range Rover Sport,28.0,28452.0,40500.0
2011,Jaguar,XJ,41.0,44883.0,37000.0
2011,Land Rover,Range Rover Sport,33.0,41169.0,36000.0
2011,Land Rover,Range Rover Sport,5.0,3794.0,46500.0
2011,Jaguar,XJ,25.0,39932.0,33500.0
2011,Land Rover,Range Rover,25.0,31927.0,34600.0
2011,Land Rover,Range Rover,47.0,56574.0,42500.0
2011,Land Rover,Range Rover Sport,48.0,40101.0,39500.0
2011,Mercedes-Benz,S-Class,44.0,15154.0,31500.0
2011,Jaguar,XK,35.0,25199.0,35000.0
2011,Land Rover,Range Rover Sport,42.0,21409.0,39000.0
2011,Land Rover,Range Rover Sport,37.0,73832.0,31000.0
2011,Land Rover,Range Rover,39.0,47019.0,40500.0
2011,Lexus,LS 460,37.0,46239.0,35500.0
2011,Mercedes-Benz,S-Class,43.0,30260.0,42000.0
2011,Jaguar,XJ,29.0,50637.0,32250.0
2011,Land Rover,Range Rover Sport,41.0,35959.0,38500.0
2011,Jaguar,XJ,29.0,31000.0,36000.0
2011,Land Rover,Range Rover Sport,43.0,40776.0,40500.0
2011,Jaguar,XK,19.0,42820.0,36500.0
2011,Land Rover,Range Rover Sport,44.0,30869.0,38500.0
2011,Land Rover,Range Rover Sport,39.0,59971.0,37500.0
2011,Jaguar,XJ,29.0,25038.0,36000.0
2011,Jeep,Wrangler,37.0,33626.0,30750.0
2011,Land Rover,Range Rover Sport,39.0,27570.0,38000.0
2011,Jaguar,XK,29.0,35870.0,35500.0
2011,Land Rover,Range Rover Sport,37.0,44152.0,35250.0
2011,Lexus,LS 460,36.0,57122.0,34500.0
2011,Jaguar,XJ,22.0,37588.0,37000.0
2011,Mercedes-Benz,GL-Class,4.0,56319.0,37000.0
2011,Land Rover,Range Rover Sport,41.0,36252.0,40500.0
2011,Land Rover,Range Rover Sport,36.0,26263.0,38000.0
2011,Land Rover,Range Rover Sport,38.0,53884.0,32000.0
2011,Porsche,Panamera,47.0,54395.0,44000.0
2010,Bentley,Continental GT Speed,3.0,15640.0,96000.0
2010,BMW,7 Series,19.0,57943.0,30750.0
2011,Toyota,Land Cruiser,47.0,44968.0,45250.0
2010,Mercedes-Benz,S-Class,39.0,33638.0,38000.0
2010,Mercedes-Benz,S-Class,36.0,41155.0,47000.0
2010,Mercedes-Benz,S-Class,46.0,51023.0,40000.0
2010,Ford,F-150,47.0,61616.0,34250.0
2010,Ford,F-250 Super Duty,39.0,75647.0,32000.0
2010,Ford,F-150,49.0,22200.0,34250.0
2010,Mercedes-Benz,S-Class,34.0,81926.0,31000.0
2010,Mercedes-Benz,S-Class,37.0,45188.0,36000.0
2010,Mercedes-Benz,S-Class,29.0,45527.0,43000.0
2009,Mercedes-Benz,G-Class,5.0,43506.0,66500.0
2008,Chevrolet,Silverado 2500HD,38.0,63421.0,36000.0
2008,GMC,Sierra 2500HD,26.0,82034.0,35500.0
2008,Maserati,GranTurismo,31.0,41225.0,40500.0
2008,Mercedes-Benz,G-Class,4.0,91680.0,43250.0
2006,Bentley,Continental Flying Spur,39.0,15909.0,57250.0
2014,Ford,Expedition,49.0,31985.0,31750.0
2014,Ford,Expedition,44.0,21062.0,31300.0
2014,Ford,Expedition,49.0,18522.0,32200.0
2005,Bentley,Continental GT,42.0,91330.0,44250.0
2005,HUMMER,H2 SUT,37.0,36594.0,33000.0
2014,Jaguar,F-TYPE,5.0,5357.0,73000.0
2014,Ford,Shelby GT500,42.0,10426.0,55250.0
2014,Hyundai,Equus,5.0,173.0,45250.0
2014,Infiniti,QX70,48.0,2005.0,41500.0
2014,Ford,Mustang,45.0,14619.0,31000.0
2014,Infiniti,Q50,3.0,12564.0,32000.0
2014,Infiniti,Q50,49.0,2003.0,32750.0
2014,Jaguar,F-TYPE,39.0,6078.0,73500.0
2014,Jaguar,F-TYPE,49.0,183.0,75000.0
2014,Infiniti,Q50,42.0,2104.0,33500.0
2014,Hyundai,Genesis,49.0,4654.0,32500.0
2014,Honda,Odyssey,47.0,11833.0,31000.0
2014,Jaguar,XJ,49.0,4225.0,83500.0
2014,Infiniti,Q50,44.0,12786.0,31000.0
2014,Infiniti,Q50,45.0,9954.0,32750.0
2014,Hyundai,Genesis,5.0,326.0,31100.0
2014,Honda,Odyssey,47.0,3755.0,32000.0
2014,Hyundai,Santa Fe Sport,5.0,4869.0,30600.0
2014,Infiniti,Q50,46.0,7221.0,33500.0
2014,Honda,Pilot,45.0,4048.0,34250.0
2014,Jaguar,F-TYPE,48.0,5236.0,67500.0
2014,Infiniti,QX70,45.0,6052.0,41750.0
2014,Jeep,Grand Cherokee,41.0,26433.0,31100.0
2014,Infiniti,QX60,37.0,18800.0,38000.0
2014,Infiniti,Q50,4.0,15811.0,30750.0
2014,Jeep,Grand Cherokee,45.0,16616.0,31750.0
2014,GMC,Yukon XL,41.0,28263.0,32500.0
2014,Infiniti,Q50,47.0,12720.0,33500.0
2014,Hyundai,Genesis,5.0,344.0,31500.0
2014,Infiniti,Q60 Convertible,47.0,4768.0,31500.0
2014,Infiniti,QX60,42.0,4801.0,43000.0
2014,Infiniti,Q50,42.0,16950.0,31000.0
2014,Infiniti,QX60,5.0,8269.0,34250.0
2014,Hyundai,Santa Fe,5.0,7852.0,31100.0
2014,MINI,Cooper Paceman,48.0,1789.0,34750.0
2014,Land Rover,Range Rover,2.0,10179.0,83500.0
